WARNING 2026-04-08 11:30:34,305 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 11:46:47,499 log 27875 123145340100608 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 11:50:05,562 log 27875 123145340100608 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 12:03:05,500 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 12:07:28,059 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 12:40:20,614 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 12:41:28,260 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-08 12:41:37,888 log 27875 123145356890112 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:04:26,188 log 8053 123145498386432 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:04:33,167 log 8053 123145498386432 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:11:24,722 log 8053 123145497849856 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:12:58,689 log 8053 123145497849856 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:26:52,682 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:27:11,223 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 05:28:28,800 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 06:00:26,608 log 8053 123145497849856 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 06:02:16,335 log 8053 123145497849856 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:08:10,090 log 8053 123145498386432 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:08:39,743 log 8053 123145498386432 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:26:32,358 log 8053 123145515175936 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:26:55,184 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:27:10,788 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 07:27:24,351 log 8053 123145481060352 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 08:33:01,069 log 8053 123145515712512 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 08:33:08,809 log 8053 123145515712512 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 09:04:29,606 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 09:09:51,643 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 09:10:05,335 log 8053 123145583407104 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 09:28:52,475 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
WARNING 2026-04-09 09:57:11,296 log 8053 123145566617600 Forbidden (Origin checking failed - http://localhost:4200 does not match any trusted origins.): /accounts/logout/
